"Notes","State","State Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Montana","30","2023 ","2023","White","2106-3",Suppressed,1004899,Suppressed
,"Nebraska","31","2018","2018","Black or African American","2054-5",Suppressed,98757,Suppressed
,"Nebraska","31","2018","2018","White","2106-3",Suppressed,1703446,Suppressed
,"Nebraska","31","2019","2019","Black or African American","2054-5",0,100763,Unreliable
,"Nebraska","31","2019","2019","White","2106-3",11,1704129,Unreliable
,"Nebraska","31","2020","2020","Black or African American","2054-5",Suppressed,102414,Suppressed
,"Nebraska","31","2020","2020","White","2106-3",Suppressed,1701816,Suppressed
,"Nebraska","31","2021","2021","Black or African American","2054-5",Suppressed,104653,Suppressed
,"Nebraska","31","2021","2021","White","2106-3",Suppressed,1721884,Suppressed
,"Nebraska","31","2022","2022","Black or African American","2054-5",Suppressed,105601,Suppressed
,"Nebraska","31","2022","2022","White","2106-3",Suppressed,1721883,Suppressed
,"Nebraska","31","2023 ","2023","Black or African American","2054-5",Suppressed,108042,Suppressed
,"Nebraska","31","2023 ","2023","White","2106-3",Suppressed,1726189,Suppressed
,"Nevada","32","2018","2018","Black or African American","2054-5",Suppressed,305848,Suppressed
,"Nevada","32","2018","2018","White","2106-3",Suppressed,2253711,Suppressed
,"Nevada","32","2019","2019","Black or African American","2054-5",Suppressed,316303,Suppressed
,"Nevada","32","2019","2019","White","2106-3",Suppressed,2277552,Suppressed
,"Nevada","32","2020","2020","Black or African American","2054-5",Suppressed,328551,Suppressed
,"Nevada","32","2020","2020","White","2106-3",Suppressed,2296904,Suppressed
,"Nevada","32","2021","2021","Black or African American","2054-5",Suppressed,334455,Suppressed
,"Nevada","32","2021","2021","White","2106-3",Suppressed,2287445,Suppressed
,"Nevada","32","2022","2022","Black or African American","2054-5",Suppressed,344357,Suppressed
,"Nevada","32","2022","2022","White","2106-3",Suppressed,2290214,Suppressed
,"Nevada","32","2023 ","2023","Black or African American","2054-5",Suppressed,351346,Suppressed
,"Nevada","32","2023 ","2023","White","2106-3",Suppressed,2283527,Suppressed
,"New Hampshire","33","2018","2018","Black or African American","2054-5",0,23293,Unreliable
,"New Hampshire","33","2018","2018","White","2106-3",Suppressed,1264217,Suppressed
,"New Hampshire","33","2019","2019","Black or African American","2054-5",0,24371,Unreliable
,"New Hampshire","33","2019","2019","White","2106-3",Suppressed,1266097,Suppressed
,"New Hampshire","33","2020","2020","Black or African American","2054-5",0,25564,Unreliable
,"New Hampshire","33","2020","2020","White","2106-3",Suppressed,1269425,Suppressed
,"New Hampshire","33","2021","2021","Black or African American","2054-5",0,26779,Unreliable
,"New Hampshire","33","2021","2021","White","2106-3",Suppressed,1288649,Suppressed
,"New Hampshire","33","2022","2022","Black or African American","2054-5",Suppressed,27993,Suppressed
,"New Hampshire","33","2022","2022","White","2106-3",Suppressed,1291413,Suppressed
,"New Hampshire","33","2023 ","2023","Black or African American","2054-5",0,28784,Unreliable
,"New Hampshire","33","2023 ","2023","White","2106-3",Suppressed,1297231,Suppressed
,"New Jersey","34","2018","2018","Black or African American","2054-5",18,1337754,Unreliable
,"New Jersey","34","2018","2018","White","2106-3",31,6416347,0.5
,"New Jersey","34","2019","2019","Black or African American","2054-5",22,1337457,1.6
,"New Jersey","34","2019","2019","White","2106-3",26,6388804,0.4
,"New Jersey","34","2020","2020","Black or African American","2054-5",13,1352737,Unreliable
,"New Jersey","34","2020","2020","White","2106-3",20,6342691,0.3
